Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,1.5130769,2.634023777423704,1231.5180763467733,0.0061923475,0.005771885249497152,0.005771885249497152,0.09162867,0.04581623,9.897458e-06,0.19897456,0.009897559,1.0
40000,1.5101818,2.6381456707543665,1260.3069422317726,0.009238361,0.007231412594604657,0.007231412594604657,0.08765578,0.045218546,9.70264e-06,0.19702637,0.009702935,1.0
60000,1.5109773,2.619546086150996,1282.164157781665,-0.0035623026,-0.01050961211068359,-0.01050961211068359,0.0877635,0.044905625,9.4976e-06,0.19497597,0.009498099,1.0
80000,1.5129309,2.6110083256244216,1320.8505407125922,-0.004628396,-0.00189558967082861,-0.00189558967082861,0.0909674,0.048186444,9.292569e-06,0.19292562,0.009293268,1.0
100000,1.5098039,2.617377625613029,1337.3964776140447,0.0064638164,0.006949121967192774,0.006949121967192774,0.0871301,0.047257826,9.097838e-06,0.19097829,0.00909873,1.0
120000,1.5078487,2.6053139652477704,1357.8096712162198,0.01681229,0.020041352434298818,0.020041352434298818,0.09093862,0.047297735,8.9030855e-06,0.18903075,0.008904172,1.0
140000,1.4909099,2.5957095709570956,1396.0177356912016,0.030684466,0.036025802597678534,0.036025802597678534,0.09218294,0.046726923,8.698065e-06,0.18698052,0.008699354,1.0
160000,1.4611039,2.5599164168256565,1418.2404024951975,0.049509156,0.062232666711519,0.062232666711519,0.09657888,0.046795134,8.493051e-06,0.18493035,0.008494543,1.0
180000,1.3896134,2.515062125681595,1457.0785645452938,0.070606664,0.08769257902428612,0.08769257902428612,0.10116287,0.04619031,8.298277e-06,0.1829826,0.008299962,1.0
200000,1.3071764,2.5063200996973474,1484.0719525332315,0.0835733,0.09138147786523469,0.09138147786523469,0.102544844,0.04577255,8.103472e-06,0.18103454,0.008105351,1.0
220000,1.2346452,2.454825101072245,1525.7558390952527,0.09837349,0.11271886502966828,0.11271886502966828,0.10803716,0.04998259,7.898465e-06,0.17898443,0.007900545,1.0
240000,1.1333171,2.430939708576913,1543.6307165678033,0.097372964,0.10358790612663242,0.10358790612663242,0.110038534,0.04703756,7.693476e-06,0.17693453,0.007695759,1.0
260000,1.0584655,2.4253204289824746,1564.6701570289435,0.089356594,0.08492815797257018,0.08492815797257018,0.110650904,0.044129647,7.4987047e-06,0.1749868,0.0075011817,1.0
280000,1.0176895,2.4010946051602815,1573.47454844694,0.07928688,0.08368108764139144,0.08368108764139144,0.112791896,0.04593655,7.303885e-06,0.17303859,0.0073065544,1.0
300000,0.96444106,2.3952339688041593,1592.8115031566324,0.07025887,0.05821688522634682,0.05821688522634682,0.117098615,0.046475314,7.0988417e-06,0.17098816,0.0071017155,1.0
320000,0.91784674,2.4047701949860723,1611.2269471949896,0.04736715,0.029709066980151667,0.029709066980151667,0.11814598,0.046058305,6.893839e-06,0.16893807,0.0068969144,1.0
340000,0.88599634,2.419058452922646,1625.9592967098777,0.029178502,0.012700205510080595,0.012700205510080595,0.1147307,0.045912072,6.6990574e-06,0.16699024,0.0067023253,1.0
360000,0.8813955,2.4037505451373744,1643.6444147378018,0.005913147,-0.01482424906099626,-0.01482424906099626,0.118712746,0.047954552,6.504303e-06,0.16504267,0.006507764,1.0
380000,0.864261,2.39351407898178,1651.2004329960184,-0.0039379247,-0.02418178802948999,-0.02418178802948999,0.11636893,0.046530955,6.2992563e-06,0.16299218,0.00630292,1.0
400000,0.86441505,2.3945121951219512,1653.7532598850808,-0.009882235,-0.02857699548923755,-0.02857699548923755,0.11692496,0.045486845,6.0942093e-06,0.1609417,0.006098076,1.0
420000,0.85897064,2.380530204259018,1673.6552956075632,-0.024576511,-0.0461450070772337,-0.0461450070772337,0.11811437,0.046551187,5.8994683e-06,0.15899427,0.005903529,1.0
440000,0.86295164,2.3671665077576494,1671.049532987203,-0.03617624,-0.05582041912392093,-0.05582041912392093,0.115712665,0.048137054,5.7047355e-06,0.15704693,0.005708988,1.0
460000,0.86610323,2.3598373421007093,1694.043354138712,-0.045146085,-0.065953021761555,-0.065953021761555,0.11723101,0.047520716,5.4997427e-06,0.15499698,0.0055041984,1.0
480000,0.8755031,2.353215767634855,1699.473929768444,-0.05558471,-0.07929542223127511,-0.07929542223127511,0.11845954,0.044593494,5.2947316e-06,0.15294684,0.0052993908,1.0
500000,0.88121873,2.3384217335058213,1725.0128838466583,-0.058628764,-0.07797457961928518,-0.07797457961928518,0.11932644,0.049926773,5.09992e-06,0.1509987,0.0051047713,1.0
520000,0.8871828,2.32709478021978,1745.2375929521988,-0.06618859,-0.08688404806661063,-0.08688404806661063,0.1226712,0.047652192,4.9050996e-06,0.14905049,0.004910144,1.0
540000,0.88858306,2.3118362452894825,1750.3681266962258,-0.07156532,-0.09352902599578443,-0.09352902599578443,0.12182285,0.046864092,4.7001026e-06,0.1470005,0.00470535,1.0
560000,0.890641,2.3176783721129905,1759.419593207778,-0.07871315,-0.10060933336248166,-0.10060933336248166,0.11916053,0.04675889,4.495081e-06,0.14495026,0.004500531,1.0
580000,0.89788926,2.316666666666667,1771.056998588159,-0.08833964,-0.11491762632390964,-0.11491762632390964,0.12041,0.047388434,4.3002547e-06,0.14300197,0.0043058973,1.0
600000,0.90949905,2.3043292265571527,1795.680886875959,-0.085577466,-0.10917271199545915,-0.10917271199545915,0.123616144,0.045251206,4.1055046e-06,0.14105447,0.004111341,1.0
