Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
20000,1.5951782,2.8101688624976804,1233.4316636095693,0.3549426,0.00049217856527853,0.00049217856527853,0.3555367,-0.87618494,0.06692607,0.06519555,0.49509835,9.899959e-06,1.0
40000,1.5906618,2.794427989633469,1271.7393891741924,1.072828,0.005893262634074976,0.005893262634074976,0.5787119,-1.3010136,0.24851245,0.24846666,0.4855251,9.700028e-06,1.0
60000,1.5729693,2.814301655198066,1300.552055116884,1.50892,0.013722307291707184,0.013722307291707184,0.59863144,-1.5967156,0.28823224,0.2864046,0.476339,9.50003e-06,1.0
80000,1.5761328,2.7864992150706436,1325.5376298120514,1.5618706,0.0051990897558236784,0.0051990897558236784,0.5544731,-1.5667646,0.26891056,0.27357808,0.4675036,9.300031e-06,1.0
100000,1.5840831,2.792267850536441,1326.1190319313212,1.4561733,-0.010440703995098841,-0.010440703995098841,0.31986344,-1.4357442,0.15531759,0.15761563,0.4589451,9.100033e-06,1.0
120000,1.5996267,2.7567269721737535,1347.269848036938,1.3553867,-0.019902256115766844,-0.019902256115766844,0.1422231,-1.3366338,0.06926837,0.06901867,0.45071504,8.900034e-06,1.0
140000,1.6107804,2.737689913966685,1362.6838752970443,1.3799689,-0.020701853428736688,-0.020701853428736688,0.07606677,-1.3667123,0.03679264,0.036781218,0.44281656,8.700036e-06,1.0
160000,1.6248451,2.6778559826746076,1398.8782258457445,1.4149919,-0.05123277728473376,-0.05123277728473376,0.075100996,-1.396435,0.036737863,0.036470763,0.4352368,8.500039e-06,1.0
180000,1.6324404,2.648874136538979,1404.836257085712,1.3851535,-0.05570482285840682,-0.05570482285840682,0.074787974,-1.3712491,0.036745567,0.036626115,0.42795807,8.300041e-06,1.0
200000,1.6447139,2.5999468367889422,1416.6879799025348,1.36582,-0.08419744399735421,-0.08419744399735421,0.07717247,-1.3525696,0.037942372,0.038122192,0.42096898,8.100044e-06,1.0
220000,1.6457963,2.5743148278285313,1448.3029030030807,1.3464143,-0.07175049749482575,-0.07175049749482575,0.07166292,-1.3353714,0.035211578,0.03546026,0.41429007,7.9000465e-06,1.0
240000,1.648383,2.5405499477897666,1488.2756590200029,1.3188593,-0.07727111621599213,-0.07727111621599213,0.071501374,-1.3086324,0.03531453,0.0354131,0.40786755,7.7000495e-06,1.0
260000,1.6376129,2.552532914813846,1507.434761925391,1.3036401,-0.05866263712677332,-0.05866263712677332,0.067004226,-1.2974424,0.033096764,0.033207174,0.40172467,7.500051e-06,1.0
280000,1.6323314,2.54597551445689,1542.2034613762303,1.2930131,-0.04117123636554021,-0.04117123636554021,0.0630186,-1.2868979,0.031312417,0.031066516,0.39584625,7.300053e-06,1.0
300000,1.6237309,2.5496918670254316,1567.8778892290115,1.2724929,-0.030394010360036056,-0.030394010360036056,0.059409615,-1.2690183,0.029617265,0.029195655,0.3902049,7.100055e-06,1.0
320000,1.6119646,2.557759220598469,1592.907346094877,1.2611932,-0.006249552671662527,-0.006249552671662527,0.05481302,-1.2586036,0.027378777,0.026830107,0.3848192,6.900057e-06,1.0
340000,1.5960782,2.5847138224208956,1620.4778929068539,1.2494377,0.002804242462889445,0.002804242462889445,0.05179728,-1.2487102,0.02584411,0.025380177,0.37964204,6.7000587e-06,1.0
360000,1.5890619,2.5782544249716626,1658.1609230685547,1.2508823,0.036814842174481714,0.036814842174481714,0.048899204,-1.2478216,0.024446433,0.023883332,0.37468213,6.500061e-06,1.0
380000,1.5811121,2.583028083028083,1672.7720566354385,1.236564,0.0483042942298145,0.0483042942298145,0.045167066,-1.2366809,0.022630848,0.021994237,0.3699356,6.300063e-06,1.0
400000,1.5791156,2.5724233983286906,1682.6451303398815,1.2172394,0.048690903801430964,0.048690903801430964,0.046339005,-1.217887,0.023235988,0.022584265,0.36539152,6.100064e-06,1.0
420000,1.5691253,2.5805526590198125,1696.9763007718432,1.2057586,0.05472376311706416,0.05472376311706416,0.043959733,-1.2079685,0.022049543,0.021422548,0.3610413,5.9000663e-06,1.0
440000,1.5649861,2.5775503122831367,1722.1745979086782,1.1955817,0.06656703221539499,0.06656703221539499,0.044543654,-1.1949898,0.022329075,0.021730654,0.3568914,5.7000684e-06,1.0
460000,1.5638984,2.5669631292634487,1726.6851557128505,1.1851318,0.07006402448364292,0.07006402448364292,0.04432772,-1.1858331,0.022259446,0.021621268,0.35292223,5.5000714e-06,1.0
480000,1.5598758,2.5721818810511756,1763.2159893051362,1.1864197,0.0907678592477792,0.0907678592477792,0.042406134,-1.1869658,0.021164263,0.020814568,0.34913486,5.300073e-06,1.0
500000,1.5570893,2.5594971586016877,1789.0585312320281,1.1781595,0.093527848932082,0.093527848932082,0.043137,-1.1785952,0.02160994,0.021123227,0.34552473,5.100075e-06,1.0
520000,1.5529618,2.556462701959436,1806.1589641687713,1.1605192,0.09374244265359032,0.09374244265359032,0.041555993,-1.1633496,0.020781277,0.020343395,0.3420904,4.900077e-06,1.0
540000,1.5513328,2.5525594932374593,1820.7009352851665,1.1571398,0.10443396473070689,0.10443396473070689,0.040211983,-1.1593391,0.02009494,0.019734984,0.33882856,4.700079e-06,1.0
560000,1.5455137,2.5666895840495014,1830.475360135624,1.144419,0.10163010765130834,0.10163010765130834,0.041093893,-1.1458025,0.020542929,0.020147746,0.33573002,4.5000806e-06,1.0
580000,1.5416279,2.566884456671252,1843.667420716054,1.1438533,0.125630777634021,0.125630777634021,0.039016213,-1.1452969,0.01949754,0.01909664,0.33279464,4.3000837e-06,1.0
600000,1.5425286,2.5540899357601714,1869.877141978272,1.1338645,0.12270699788601556,0.12270699788601556,0.038095932,-1.1352286,0.019010453,0.018660078,0.33001724,4.100085e-06,1.0
620000,1.5450417,2.5435117114036587,1872.0015834265614,1.1311432,0.11920573433715169,0.11920573433715169,0.03910859,-1.1309351,0.019489385,0.019209793,0.32738566,3.9000874e-06,1.0
640000,1.5428759,2.5448882061785287,1894.4611738369288,1.1208038,0.12465091787912659,0.12465091787912659,0.03864323,-1.1216547,0.019228581,0.019012054,0.32490763,3.700089e-06,1.0
660000,1.5440621,2.535750766087845,1920.9185498694317,1.1198515,0.1286392547002807,0.1286392547002807,0.03921355,-1.1192503,0.01964161,0.01916613,0.32257897,3.5000915e-06,1.0
680000,1.540708,2.5443005622763675,1925.5804884747886,1.1041427,0.12387730142785318,0.12387730142785318,0.03949335,-1.1072124,0.019717786,0.019370606,0.3203901,3.300093e-06,1.0
700000,1.5379097,2.534280367471929,1940.5745741459555,1.1000134,0.13110679923199176,0.13110679923199176,0.038349,-1.1010094,0.01914436,0.018778527,0.31835186,3.1000952e-06,1.0
720000,1.5374181,2.5332597060572595,1947.6169473927282,1.0935477,0.13198091853479127,0.13198091853479127,0.038010754,-1.0954401,0.01903528,0.018553885,0.31645134,2.9000976e-06,1.0
740000,1.5356696,2.52451520027098,1964.0373600745645,1.091223,0.1286484612110953,0.1286484612110953,0.0398174,-1.0906447,0.019878954,0.019535478,0.3146858,2.7000992e-06,1.0
760000,1.5322392,2.5406050276949297,1986.8413732010958,1.0898122,0.14709592282454878,0.14709592282454878,0.0383367,-1.0891973,0.019090146,0.018837702,0.31305555,2.5001013e-06,1.0
780000,1.5322888,2.5319745222929937,2000.5643327979733,1.0828255,0.1381189202300781,0.1381189202300781,0.038388185,-1.0816127,0.01917477,0.018804971,0.31155887,2.3001032e-06,1.0
800000,1.5346769,2.527167924048487,2010.969802014723,1.0832441,0.15191940979465193,0.15191940979465193,0.037105706,-1.0846641,0.018477036,0.018199246,0.3101903,2.1001056e-06,1.0
820000,1.5319096,2.534092841353511,2028.193961936227,1.0809942,0.14344748778585986,0.14344748778585986,0.037479147,-1.079822,0.018713031,0.01837907,0.3089503,1.9001075e-06,1.0
840000,1.5294831,2.532337463928026,2038.7328277765214,1.0701927,0.14465925471014002,0.14465925471014002,0.03707844,-1.0722592,0.018528732,0.0181431,0.30783686,1.7001095e-06,1.0
860000,1.5272766,2.5416915083894045,2056.7221226359575,1.0722216,0.14507684490375775,0.14507684490375775,0.037438914,-1.0722495,0.01863076,0.018371448,0.3068537,1.5001114e-06,1.0
