Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,1.5929693,2.820899402131531,1176.9373073027757,-0.023404231,-0.10275611055901568,-0.10275611055901568,0.08980447,0.037598237,9.989974e-06,0.19989976,0.009989983,1.0
40000,1.5960524,2.809581459702525,1140.877278199856,-0.03776595,-0.09517468008867022,-0.09517468008867022,0.088136,0.037405994,9.970181e-06,0.19970182,0.009970211,1.0
60000,1.5957354,2.808143547273982,1092.0144399186681,-0.051982008,-0.107229123863837,-0.107229123863837,0.08597629,0.03550979,9.950119e-06,0.1995012,0.009950169,1.0
80000,1.5951283,2.8071008984105044,1073.829278137077,-0.052235033,-0.09714927442073204,-0.09714927442073204,0.08626313,0.036953457,9.930067e-06,0.19930068,0.009930137,1.0
100000,1.5958402,2.796815834767642,1021.689505354621,-0.062484853,-0.10850258208747164,-0.10850258208747164,0.08613213,0.035411905,9.910006e-06,0.19910006,0.009910096,1.0
120000,1.596651,2.758591212173021,985.0565405006105,-0.060951512,-0.10170969402312131,-0.10170969402312131,0.09188916,0.03553019,9.889945e-06,0.19889943,0.009890054,1.0
140000,1.5687525,2.709120026972353,980.188450845853,-0.06323324,-0.10289952774618175,-0.10289952774618175,0.101150736,0.031807363,9.869894e-06,0.19869895,0.009870024,1.0
160000,1.5232173,2.6792153589315526,968.8468271099844,-0.06839341,-0.1145409013783693,-0.1145409013783693,0.10652649,0.03709436,9.849839e-06,0.19849837,0.009849987,1.0
180000,1.4565399,2.6511879049676024,933.9754315728114,-0.060324956,-0.0954311339487604,-0.0954311339487604,0.11545769,0.03606342,9.829781e-06,0.1982978,0.0098299505,1.0
200000,1.3750356,2.6462365591397847,891.6233007089305,-0.06351974,-0.10451612834155412,-0.10451612834155412,0.118177965,0.034249507,9.809987e-06,0.19809985,0.009810175,1.0
220000,1.2993422,2.632911392405063,841.7423223641582,-0.07139924,-0.11946407983579585,-0.11946407983579585,0.11925579,0.03532952,9.790194e-06,0.19790192,0.009790401,1.0
240000,1.2361815,2.6173636066644885,776.3306161477248,-0.07865495,-0.13028422060578682,-0.13028422060578682,0.12170353,0.03605689,9.770144e-06,0.19770142,0.00977037,1.0
260000,1.1782002,2.618060091443501,732.7043524590546,-0.08557616,-0.133180927327067,-0.133180927327067,0.122456685,0.0347417,9.750081e-06,0.19750078,0.009750327,1.0
280000,1.1467649,2.6111925708699903,704.6604494628747,-0.089942046,-0.14099055071021183,-0.14099055071021183,0.12095361,0.038102448,9.7300235e-06,0.19730021,0.00973029,1.0
300000,1.0777401,2.6062915518080105,622.4121943758249,-0.10134528,-0.14952164760440254,-0.14952164760440254,0.12122685,0.03411389,9.70997e-06,0.19709969,0.009710257,1.0
320000,1.0409534,2.5806946688206787,585.7958632789513,-0.09272703,-0.1356542807800608,-0.1356542807800608,0.1259877,0.034742806,9.6899075e-06,0.19689904,0.009690215,1.0
340000,0.9691732,2.555162999839409,542.3673939008665,-0.08343645,-0.12551790515569003,-0.12551790515569003,0.12827697,0.036540158,9.669855e-06,0.19669853,0.009670183,1.0
360000,0.919189,2.550907339007548,509.4545550361721,-0.0788236,-0.12063593943026775,-0.12063593943026775,0.12646946,0.034299616,9.649801e-06,0.19649798,0.0096501475,1.0
380000,0.8726184,2.55422557840617,490.41907215347317,-0.08898235,-0.13097686327725724,-0.13097686327725724,0.120926894,0.03643903,9.630003e-06,0.1963,0.00963037,1.0
400000,0.8533421,2.5551364365971105,459.7705780543841,-0.09428997,-0.1429695022873951,-0.1429695022873951,0.11945133,0.03333796,9.610207e-06,0.19610204,0.009610592,1.0
420000,0.8488258,2.603321335078534,394.9984511480504,-0.07080347,-0.10152159587002277,-0.10152159587002277,0.11707287,0.04089125,9.59016e-06,0.19590156,0.009590566,1.0
